Country,Year,OFR_forecast,PriceIndex_forecast
Côte d'Ivoire,2022,765.649396182314,318.0100034431297
Côte d'Ivoire,2023,774.8945266848461,319.977485231494
Côte d'Ivoire,2024,784.1396571873784,321.9449670198582
Côte d'Ivoire,2025,793.3847876899105,323.91244880822245
Denmark,2019,341.29639963788463,222.29278622630986
Denmark,2020,344.79344890799894,223.43749789004497
Denmark,2021,348.2904981781132,224.58220955378
Denmark,2022,351.7875474482275,225.72692121751504
Denmark,2023,355.28459671834173,226.8716328812501
Denmark,2024,358.78164598845603,228.0163445449852
Denmark,2025,362.2786952585703,229.16105620872025
Djibouti,2019,425.1117647058823,440.1325172384985
Djibouti,2020,429.8235294117647,442.5852339802425
Djibouti,2021,434.535294117647,445.0379507219863
Djibouti,2022,439.2470588235294,447.4906674637301
Djibouti,2023,443.95882352941175,449.943384205474
Djibouti,2024,448.6705882352941,452.3961009472178
Djibouti,2025,453.38235294117646,454.8488176889618
Dominica,2019,127.3970588235294,162.8045668123957
Dominica,2020,127.79411764705883,163.05866955266595
Dominica,2021,128.19117647058823,163.31277229293613
Dominica,2022,128.58823529411765,163.56687503320637
Dominica,2023,128.98529411764707,163.8209777734766
Dominica,2024,129.38235294117646,164.07508051374683
Dominica,2025,129.77941176470588,164.32918325401707
Dominican Republic,2019,2711.514705882353,846.3135656636749
Dominican Republic,2020,2749.3627450980393,852.2616121278637
Dominican Republic,2021,2787.210784313726,858.2096585920526
Dominican Republic,2022,2825.058823529412,864.1577050562415
Dominican Republic,2023,2862.9068627450984,870.1057515204304
Dominican Republic,2024,2900.7549019607845,876.0537979846193
Dominican Republic,2025,2938.6029411764707,882.0018444488081
Ecuador,2019,12496.429831932774,1867.551439315878
Ecuador,2020,12676.088235294117,1881.0733265669494
Ecuador,2021,12855.746638655462,1894.5952138180203
Ecuador,2022,13035.405042016806,1908.1171010690912
Ecuador,2023,13215.063445378151,1921.638988320162
Ecuador,2024,13394.721848739495,1935.1608755712334
Ecuador,2025,13574.38025210084,1948.6827628223045
Egypt,2019,4470.5000334985925,734.7932938958614
Egypt,2020,4533.840613694225,740.0359182191323
Egypt,2021,4597.181193889856,745.2785425424034
Egypt,2022,4660.521774085488,750.5211668656744
Egypt,2023,4723.86235428112,755.7637911889453
Egypt,2024,4787.202934476752,761.0064155122163
Egypt,2025,4850.543514672384,766.2490398354875
El Salvador,2019,2527.054705882353,788.0532111600489
El Salvador,2020,2562.229411764706,793.5762038958801
El Salvador,2021,2597.404117647059,799.0991966317112
El Salvador,2022,2632.5788235294117,804.6221893675421
El Salvador,2023,2667.7535294117647,810.145182103373
El Salvador,2024,2702.9282352941177,815.6681748392042
El Salvador,2025,2738.1029411764707,821.1911675750353
Equatorial Guinea,2019,6518.014705882353,1834.6229017460728
Equatorial Guinea,2020,6611.029411764706,1847.8073810570158
Equatorial Guinea,2021,6704.044117647059,1860.9918603679591
Equatorial Guinea,2022,6797.058823529412,1874.1763396789022
Equatorial Guinea,2023,6890.073529411765,1887.3608189898457
Equatorial Guinea,2024,6983.088235294118,1900.545298300789
Equatorial Guinea,2025,7076.10294117647,1913.7297776117323
Eritrea,2019,918.5758513931888,402.3543970457806
Eritrea,2020,931.8885448916408,405.2912904548739
Eritrea,2021,945.2012383900928,408.22818386396716
Eritrea,2022,958.5139318885448,411.16507727306043
Eritrea,2023,971.8266253869969,414.1019706821538
Eritrea,2024,985.1393188854488,417.0388640912471
Eritrea,2025,998.4520123839009,419.97575750034036
Estonia,2019,22.310764660631435,402.3543970457806
Estonia,2020,22.634109076002904,405.2912904548739
Estonia,2021,22.957453491374377,408.22818386396716
Estonia,2022,23.280797906745846,411.16507727306055
Estonia,2023,23.604142322117315,414.1019706821538
Estonia,2024,23.927486737488785,417.0388640912471
Estonia,2025,24.250831152860258,419.97575750034036
Ethiopia,2019,1937.6661764705882,649.889677280036
Ethiopia,2020,1964.299019607843,654.3868872564008
Ethiopia,2021,1990.931862745098,658.8840972327655
Ethiopia,2022,2017.5647058823529,663.3813072091302
Ethiopia,2023,2044.1975490196078,667.8785171854951
Ethiopia,2024,2070.8303921568627,672.3757271618599
Ethiopia,2025,2097.4632352941176,676.8729371382245
Falkland Is.(Malvinas),2019,1227134.5588235294,402.3543970457806
Falkland Is.(Malvinas),2020,1244919.1176470588,405.2912904548739
Falkland Is.(Malvinas),2021,1262703.6764705882,408.22818386396716
